"""30 Lives""",3:19,iTunes Session,2013
"""All Eyes""",2:59,Hell and Silence,2010
"""All For You""",3:33,Transformers: Age of Extinction - The Score,2014
"""America""",3:30,It's Time,2010
"""Amsterdam""",4:01,It's Time,2010
"""Bad Liar""",4:21,Origins,2018
"""Battle Cry""",4:32,Transformers: Age of Extinction - The Score,2014
"""Believer""",3:22,Evolve,2017
"""Birds""",3:40,Origins,2018
"""Bleeding Out""",3:43,Night Visions,2012
"""Boomerang""",3:08,Origins,2018
"""Boots""",3:32,Speak to Me,2008
"""Born To Be Yours""",3:16,Origins,2018
"""Bottle Of Coke""",3:32,Demo,2008
"""Bullet in a Gun""",3:25,Origins,2018
"""Burn Out""",4:34,Origins,2018
"""Cha-Ching (Till We Grow Older)""",4:09,Night Visions,2012
"""Cool Out""",3:38,Origins,2018
"""Cover Up""",4:20,Imagine Dragons,2009
"""Curse""",4:16,Imagine Dragons,2009
"""Curtain Call""",3:19,Demo,2008
"""Dancing in the Dark""",3:53,Evolve,2017
"""Demons""",2:57,Continued Silence EP,2012
"""Destination""",3:53,iTunes Session,2013
"""Digital""",3:21,Origins,2018
"""Dream""",4:18,Smoke + Mirrors,2015
"""Drive""",4:32,Imagine Dragons,2009
"""Emma""",3:32,Hell and Silence,2010
"""Every Night""",3:37,Night Visions,2012
"""Fallen""",2:59,Night Visions (Deluxe Edition),2012
"""Fear""",2:41,VHS,2015
"""February""",4:15,Demo,2008
"""Friction""",3:21,Smoke + Mirrors,2015
"""Gold""",3:36,Smoke + Mirrors,2015
"""Hear Me""",3:55,Hell and Silence,2010
"""Heart Upon My Sleeve""",4:14,Tim,2019
"""Hopeless Opus""",4:01,Smoke + Mirrors,2015
"""I Bet My Life""",3:14,Smoke + Mirrors,2014
"""I Don't Know Why""",3:10,Evolve,2017
"""I Don't Mind""",3:18,Hell and Silence,2010
"""I Need A Minute""",3:28,Imagine Dragons,2009
"""I'll Make It Up to You""",4:22,Evolve,2017
"""I'm So Sorry""",3:50,Smoke + Mirrors,2015
"""It Comes Back To You""",3:37,Smoke + Mirrors,2015
"""It's Time""",4:00,It's Time,2010
"""Leave Me""",3:31,It's Time,2010
"""Levitate""",3:18,Passengers OST,2016
"""Living Musical""",4:44,Speak to Me,2008
"""Look How Far We've Come""",4:08,It's Time,2011
"""Lost Cause""",3:50,Frankenweenie Unleashed!: Music Inspired by the Motion Picture,2012
"""Love""",2:46,Origins,2018
"""Machine""",3:01,Origins,2018
"""Monster""",4:09,Infinity Blade III Original Soundtrack,2013
"""Mouth of the River""",3:41,Evolve,2017
"""My Fault""",2:56,Continued Silence EP,2012
"""Natural""",3:10,Origins,2018
"""Next to Me""",3:50,Evolve,2018
"""Not Today""",4:18,Evolve (Deluxe Edition),2016
"""Nothing Left To Say""",6:33,Night Visions,2012
"""Off to War""",4:24,Demo,2008
"""On Top of the World""",3:12,Continued Silence EP,2012
"""Only""",3:01,Origins,2018
"""Pantomime""",5:02,It's Time,2011
"""Pistol Whip""",3:41,Speak to Me,2008
"""Polaroid""",3:51,Smoke + Mirrors,2015
"""Radioactive""",3:06,Continued Silence EP,2012
"""Ready Aim Fire""",4:01,Iron Man 3: Heroes Fall,2013
"""Real Life""",4:08,Origins,2018
"""Release""",2:28,Smoke + Mirrors (Deluxe Edition),2015
"""Rise Up""",3:51,Evolve,2017
"""Rocks""",2:07,Night Visions,2012
"""Roots""",2:54,Evolve (Japanese Edition),2015
"""Round and Round""",3:18,Continued Silence EP,2012
"""Second Chances""",3:38,Smoke + Mirrors (Deluxe Edition),2015
"""Selene""",4:01,Hell and Silence,2010
"""Shots""",3:52,Smoke + Mirrors,2015
"""Smoke and Mirrors""",4:21,Smoke + Mirrors,2015
"""Speak to Me""",3:41,Speak to Me,2008
"""Start Over""",3:06,Evolve,2017
"""Stuck""",3:11,Origins,2018
"""Sucker for Pain""",4:04,Suicide Squad (soundtrack),2016
"""Summer""",3:38,Smoke + Mirrors,2015
"""The Fall""",6:06,Smoke + Mirrors,2015
"""The Pit""",3:49,Speak to Me,2008
"""The River""",3:25,Hear Me,2011
"""The Unknown""",3:25,Smoke + Mirrors (Deluxe Edition),2015
"""Thief""",3:47,Smoke + Mirrors (Deluxe Edition),2015
"""Thunder""",3:07,Evolve,2017
"""Tiptoe""",3:14,Night Visions,2012
"""Tokyo""",3:17,It's Time,2011
"""Trouble""",3:13,Smoke + Mirrors,2015
"""Underdog""",3:29,Night Visions,2012
"""Unseen""",2:52,Demo,2008
"""Uptight""",3:44,Imagine Dragons,2009
"""Volume Drops""",5:05,Demo,2008
"""Walking the Wire""",3:52,Evolve,2017
"""Warriors""",2:51,Smoke + Mirrors (International Deluxe Edition),2015
"""West Coast""",3:37,Origins,2018
"""Whatever It Takes""",3:21,Evolve,2017
"""Who We Are""",4:09,The Hunger Games: Catching Fire - Original Motion Picture Soundtrack,2013
"""Wings""",2:12,NBA 2K17 Soundtrack,2016
"""Working Man""",3:55,Night Visions (Deluxe Edition),2012
"""Yesterday""",3:25,Evolve,2017
"""Zero""",3:30,Ralph Breaks the Internet (Original Motion Picture Soundtrack),2018
